"","Zip","City","State","Latitude","Longitude","Timezone","Daylight savings time flag","geopoint"
"1424","47993","Williamsport","IN",40.300013,-87.38396,-5,0,"40.300013,-87.38396"
"1425","47120","Fredericksburg","IN",38.435326,-86.18702,-5,0,"38.435326,-86.18702"
"1426","40810","Bledsoe","KY",36.91707,-83.32399,-5,1,"36.91707,-83.32399"
"1427","46737","Fremont","IN",41.724694,-84.95619,-5,0,"41.724694,-84.95619"
"1428","41062","Minerva","KY",38.719573,-83.910276,-5,1,"38.719573,-83.910276"
"1429","42050","Hickman","KY",36.558598,-89.19789,-6,1,"36.558598,-89.19789"
"1430","42128","Drake","KY",36.983441,-86.394012,-6,1,"36.983441,-86.394012"
"1431","42134","Franklin","KY",36.718074,-86.58202,-6,1,"36.718074,-86.58202"
"1432","42451","Reed","KY",37.859415,-87.37005,-6,1,"37.859415,-87.37005"
"1433","41098","Worthville","KY",38.60395,-85.03388,-5,1,"38.60395,-85.03388"
"1434","41512","Ashcamp","KY",37.254188,-82.47961,-5,1,"37.254188,-82.47961"
"1435","47281","Vallonia","IN",38.805185,-86.09283,-5,0,"38.805185,-86.09283"
"1436","84101","Salt Lake City","UT",40.754746,-111.89875,-7,1,"40.754746,-111.89875"
"1437","46371","Rolling Prairie","IN",41.677087,-86.60481,-6,1,"41.677087,-86.60481"
"1438","41034","Dover","KY",38.730747,-83.88762,-5,1,"38.730747,-83.88762"
"1439","41301","Campton","KY",37.716311,-83.51835,-5,1,"37.716311,-83.51835"
"1440","46052","Lebanon","IN",40.047966,-86.46592,-5,0,"40.047966,-86.46592"
"1441","47672","Cynthiana","IN",38.187432,-87.716121,-6,1,"38.187432,-87.716121"
"1442","47724","Evansville","IN",37.997128,-87.574963,-6,1,"37.997128,-87.574963"
"1443","40515","Lexington","KY",37.952113,-84.45347,-5,1,"37.952113,-84.45347"
"1444","41554","Phyllis","KY",37.445906,-82.32708,-5,1,"37.445906,-82.32708"
"1445","42241","Hopkinsville","KY",36.898071,-87.496529,-6,1,"36.898071,-87.496529"
"1446","46619","South Bend","IN",41.667797,-86.31341,-5,0,"41.667797,-86.31341"
"1447","46065","Rossville","IN",40.427919,-86.61059,-5,0,"40.427919,-86.61059"
"1448","46369","Russiaville","IN",40.41663,-86.26679,-5,0,"40.41663,-86.26679"
"1449","42404","Clay","KY",37.481719,-87.8394,-6,1,"37.481719,-87.8394"
"1450","41056","Maysville","KY",38.624534,-83.76561,-5,1,"38.624534,-83.76561"
"1451","46803","Fort Wayne","IN",41.070498,-85.10706,-5,0,"41.070498,-85.10706"
"1452","46937","Hemlock","IN",40.418662,-86.018139,-5,0,"40.418662,-86.018139"
"1453","41180","Webbville","KY",38.132937,-82.85098,-5,1,"38.132937,-82.85098"
"1454","42565","Windsor","KY",37.144759,-84.89524,-5,1,"37.144759,-84.89524"
